conversation_id,created_at,full_text,Processed_Tweet
1.45159e+18,2021-10-22T16:35:28.000Z,"$61,000 #Bitcoin. https://t.co/ufOIGYbnmP",61000 bitcoin
1.4579e+18,2021-11-09T02:38:16.000Z,"$67,300.",67300
1.59095e+18,2022-11-11T05:52:05.000Z,https://t.co/cewpeNdJIZ,
1.49e+18,2022-02-05T16:27:33.000Z,"$41,675. We're lovin' it! @McDonalds https://t.co/vVYBzA6KSb",41675 lovin
1.45555e+18,2021-11-02T14:51:58.000Z,"$63,500.",63500
1.61683e+18,2023-01-21T16:22:20.000Z,"$23,000.",23000
1.44886e+18,2021-10-15T03:42:15.000Z,"$59,250.",59250
1.4333e+18,2021-09-02T05:19:13.000Z,"$49,600.",49600
1.64804e+18,Mon Apr 17 23:59:59 +0000 2023,@deezy_BTC @Pluto_Alliance Enjoy 😎,enjoy
1.64811e+18,Mon Apr 17 23:59:58 +0000 2023,"ドル円134円米国債2年利回り4.2%に上がってしまいましたね…
下落に注意です🙂
＃BTC ＃Bitcoin https://t.co/6Kh7DRENoW",ドル円134円米国債2年利回り42に上がってしまいましたね 下落に注意です btc bitcoin
1.64811e+18,Mon Apr 17 23:59:54 +0000 2023,Am I high on mushrooms or is $btc below 30k a gift?,high mushroom btc 30k gift
1.64811e+18,Mon Apr 17 23:59:51 +0000 2023,"Updated Bitcoin transaction fees: 
    
BCH Next Block: $0.0007 
BCH Weekly Median: $0.0005 

BTC Next Block: $1.97 
BTC Weekly Median: $0.86",updated bitcoin transaction fee bch next block 00007 bch weekly median 00005 btc next block 197 btc weekly median 086
1.64811e+18,Mon Apr 17 23:59:46 +0000 2023,AnchorWatch launch coming soon. Use promo code: LEGIT @bradmillscan @Rob1Ham @BeccaAmilee #Bitcoin https://t.co/JJDubT6cjb,anchorwatch launch coming soon use promo code legit bitcoin
1.64811e+18,Mon Apr 17 23:59:46 +0000 2023,"Btc có hỗ trợ 29,2 và ema 89 h4 và hop luu 28.1 ema 200 h4 và ema 34 d1. Nên hỗ trợ mạnh nhất là 28k ae muốn gom phải chờ về hỗ trợ mạnh có tín hiệu đảo chiều. Vì H4 đang có phân kỳ giảm rõ ràng. Nhịp này mình đoán 31k là đỉnh của sóng này. https://t.co/KO1H0JxTa3",btc có hỗ trợ 292 và ema 89 h4 và hop luu 281 ema 200 h4 và ema 34 d1 nên hỗ trợ mạnh nhất là 28k ae muốn gom phải chờ về hỗ trợ mạnh có tín hiệu đảo chiều vì h4 đang có phân kỳ giảm rõ ràng nhịp này mình đoán 31k là đỉnh của sóng này
1.64811e+18,Mon Apr 17 23:59:45 +0000 2023,"$BTC

Got that new high, and now trading back within that channel

Though it's a good look for that deeper pullback, trading below $28.5k~ would add confidence

Would be looking to bid low $26k~ for a significant dead-cat bounce up https://t.co/iD2Aprvicp",btc got new high trading back within channel though good look deeper pullback trading 285k would add confidence would looking bid low 26k significant deadcat bounce
1.64811e+18,Mon Apr 17 23:59:41 +0000 2023,Why did the bitcoin mining stock end on Monday? - https://t.co/EZHsjfTZPD,bitcoin mining stock end monday
1.64811e+18,Mon Apr 17 23:59:40 +0000 2023,Bitcoin price index https://t.co/o7UcHJUhC6 #USD #EUR #CNY #GBP #RUB https://t.co/BIH4PdrYJI,bitcoin price index usd eur cny gbp rub
1.64811e+18,Mon Apr 17 23:59:39 +0000 2023,First sell signal triggered on daily $BTC super trend. https://t.co/PUE1PeHYOd,first sell signal triggered daily btc super trend
1.64811e+18,Mon Apr 17 23:59:36 +0000 2023,#Bitcoin hitting lower level 1st band 2hour timeframe- #BuySignal @ 29495.45 #btc #bitcoin,bitcoin hitting lower level 1st band 2hour timeframe buysignal 2949545 btc bitcoin
1.64811e+18,Mon Apr 17 23:59:35 +0000 2023,"@BitcoinApes_ No.1 in sales
#Bitcoin #Ordinals #bayc",no1 sale bitcoin ordinal bayc
1.6481e+18,Mon Apr 17 23:59:30 +0000 2023,@longstreet_btc Beautiful guitar!,beautiful guitar
1.648e+18,Mon Apr 17 23:59:28 +0000 2023,"@zengaku_bitcoin あれ？！
またアイコン変わってるぅ🤣",あれ またアイコン変わってるぅ
1.64809e+18,Mon Apr 17 23:59:25 +0000 2023,@btc_bryan_21 @SenWarren @nytimes That's a ridiculous argument. Entropy is not money.,thats ridiculous argument entropy money
1.64811e+18,Mon Apr 17 23:59:22 +0000 2023,The Legendary Golden Cross #bitcoin https://t.co/Z2RqlMFkNK,legendary golden cross bitcoin
1.64795e+18,Mon Apr 17 23:59:21 +0000 2023,"@AlexandertheBTC How will the credit market work under a bitcoin standard?  That’s something that I don’t have an answer to yet.  How will people borrow bitcoin to buy a house, when the amount of bitcoin in their paychecks goes down every year?",credit market work bitcoin standard thats something dont answer yet people borrow bitcoin buy house amount bitcoin paycheck go every year
1.64808e+18,Mon Apr 17 23:59:21 +0000 2023,@BinTiger22 @BTC_DeGods keen eyes as ALWAYS brother! And those Rug Rats POP on this guy!,keen eye always brother rug rat pop guy
1.64805e+18,Mon Apr 17 23:59:20 +0000 2023,"@kimoeeeee @PoW90586695 @nft4dummies @saylor @MicroStrategy ETH may flip bitcoin for a short time, but at the end of the day, only 1 is truly decentralized. ETH will go to zero long term.",eth may flip bitcoin short time end day 1 truly decentralized eth go zero long term
1.64801e+18,Mon Apr 17 23:59:20 +0000 2023,@syora_btc You need this https://t.co/lnAHDljAw7,need
1.64811e+18,Mon Apr 17 23:59:19 +0000 2023,"@BobLoukas And companies are simply taking the fucking piss. Price gouging is rampant. Tipping culture out of control. Shrinkflation. You name it. 

I spend all my money on Bitcoin and Pot Noodles.",company simply taking fucking piss price gouging rampant tipping culture control shrinkflation name spend money bitcoin pot noodle
1.64811e+18,Mon Apr 17 23:59:19 +0000 2023,"プエルマルチプルどおり青い領域で買い増しして赤い領域で保険としてヘッジかければほぼ成功する。
これだけを眺めてればいいんじゃないかと思えてくる。
#btc
#PuellMultiple https://t.co/XPdkPhtmtC",プエルマルチプルどおり青い領域で買い増しして赤い領域で保険としてヘッジかければほぼ成功する これだけを眺めてればいいんじゃないかと思えてくる btc puellmultiple
1.64811e+18,Mon Apr 17 23:59:18 +0000 2023,Tonight we cover how @SHAQ finally grew up after 6 months of hiding,tonight cover finally grew 6 month hiding
1.64811e+18,Mon Apr 17 23:59:17 +0000 2023,Chibi's are on btc👀 ME!,chibis btc
1.64776e+18,Mon Apr 17 23:59:16 +0000 2023,"@ShaneTHazel @RepThomasMassie Bitcoin can't coexist with cbdc, the central banks can buy a large amount of the market cap and crash it.

They're not going to let it trade anymore.",bitcoin cant coexist cbdc central bank buy large amount market cap crash theyre going let trade anymore
